Loading (p.u.),Name,Bus1,Bus2,
1.0045956439777999,Line.l(r:p1udt17021-p1udt17235),p1udt17021-p1udt17235x.1.2.3,p1udt17021-p1udt17235xx.1.2.3,
1.0046107532385444,Line.padswitch(r:p1udt17021-p1udt17235)p1u_256055,p1udt17021-p1udt17235xx.1.2.3,p1udt17235.1.2.3,
1.0046107554209815,Line.padswitch(r:p1udt10455-p1udt17235)p1u_256052,p1udt17235.1.2.3,p1udt10455-p1udt17235xx.1.2.3,
1.0046107576125332,Line.l(r:p1udt10455-p1udt17235),p1udt10455-p1udt17235xx.1.2.3,p1udt10455-p1udt17235x.1.2.3,
1.0046570334423912,Line.padswitch(r:p1udt24764-p1udt9499)p1u_244794,p1udt9499.1.2.3,p1udt24764-p1udt9499xx.1.2.3,
1.0048525815435077,Line.padswitch(r:p3udt11095-p3udt24288)p3u_178976,p3udt11095-p3udt24288x.1.2.3,p3udt11095.1.2.3,
1.0055653850105999,Line.padswitch(r:p5udt5291-p5udt928)p5u_117356,p5udt5291-p5udt928xx.1.2.3,p5udt928.1.2.3,
1.0058239792849235,Line.sb2_p3uhs20_1247_362,sb2_p3uhs20_1247_bus_2_2.1.2.3,sb2_p3uhs20_1247_node_2_11.1.2.3,
1.0059436793822263,Line.sb2_p5uhs4_1247_68,sb2_p5uhs4_1247_bus_2_5.1.2.3,p5udt4324-p5uhs4_1247x.1.2.3,
1.0061986707384143,Line.l(r:p5udt10255-p5udt26885),p5udt10255-p5udt26885xx.1.2.3,p5udt10255-p5udt26885x.1.2.3,
1.0062206767620858,Line.padswitch(r:p5udt10255-p5udt26885)p5u_135009,p5udt10255-p5udt26885x.1.2.3,p5udt10255.1.2.3,
1.0062641173317244,Line.padswitch(r:p5udt17681-p5udt31922)p5u_139853,p5udt31922.1.2.3,p5udt17681-p5udt31922xx.1.2.3,
1.0062641199112203,Line.l(r:p5udt17681-p5udt31922),p5udt17681-p5udt31922xx.1.2.3,p5udt17681-p5udt31922x.1.2.3,
1.006281559477723,Line.padswitch(r:p5udt17681-p5udt31922)p5u_139854,p5udt17681-p5udt31922x.1.2.3,p5udt17681.1.2.3,
1.0063784099327666,Line.padswitch(r:p1udt16518-p1udt23496)p1u_242229,p1udt16518.1.2.3,p1udt16518-p1udt23496x.1.2.3,
1.0063818274779706,Line.padswitch(r:p1udt10091-p1udt554)p1u_256024,p1udt554.1.2.3,p1udt10091-p1udt554xx.1.2.3,
1.0065286403593205,Line.l(r:p5udt1394-p5udt6525),p5udt1394.1.2.3,p5udt6525.1.2.3,
1.0066104579702315,Line.padswitch(r:p5udt11624-p5udt8133)p5u_136030,p5udt11624.1.2.3,p5udt11624-p5udt8133x.1.2.3,
1.0066298189834753,Line.padswitch(r:p5udt11624-p5udt8133)p5u_136031,p5udt11624-p5udt8133xx.1.2.3,p5udt8133.1.2.3,
1.0075958985981333,Line.breaker(r:p5uts0_69-st_mat)p5u_150997,p5uts0_69-st_matx.1.2.3,p5uts0_69.1.2.3,
1.0077058395608254,Line.l(r:p3udt20056-p3udt20937),p3udt20056-p3udt20937xx.1.2.3,p3udt20056-p3udt20937x.1.2.3,
1.0080348919687667,Line.l(r:p1udt21266-p1udt8542),p1udt21266-p1udt8542x.1.2.3,p1udt21266-p1udt8542xx.1.2.3,
1.0080487045464084,Line.padswitch(r:p1udt21266-p1udt8542)p1u_263800,p1udt21266-p1udt8542xx.1.2.3,p1udt8542.1.2.3,
1.0091120938089169,Line.l(r:p5udt7484-p5udt7652),p5udt7484.1.2.3,p5udt7652.1.2.3,
1.0101471282577317,Line.padswitch(r:p5udt13524-p5udt22335)p5u_135005,p5udt13524-p5udt22335xx.1.2.3,p5udt22335.1.2.3,
1.0105374162036331,Line.padswitch(r:p5udt10255-p5udt13524)p5u_135006,p5udt10255.1.2.3,p5udt10255-p5udt13524x.1.2.3,
1.0105437272114122,Line.padswitch(r:p3udt21065-p3udt26275)p3u_183317,p3udt26275.1.2.3,p3udt21065-p3udt26275xx.1.2.3,
1.0105586475395754,Line.padswitch(r:p3udt21065-p3udt26275)p3u_183318,p3udt21065-p3udt26275x.1.2.3,p3udt21065.1.2.3,
1.010558652307139,Line.padswitch(r:p3udt21065-p3udt5483)p3u_183311,p3udt21065.1.2.3,p3udt21065-p3udt5483x.1.2.3,
1.0106852668855064,Line.breaker(r:p2uhs1_69-p2uts0_69)p2u_45437,p2uhs1_69-p2uts0_69x.1.2.3,p2uhs1_69.1.2.3,
1.0107199766854236,Line.l(r:p1udt12343-p1udt16223),p1udt12343-p1udt16223x.1.2.3,p1udt12343-p1udt16223xx.1.2.3,
1.01073954605287,Line.padswitch(r:p1udt12343-p1udt16223)p1u_260307,p1udt12343-p1udt16223xx.1.2.3,p1udt16223.1.2.3,
1.0107395483743904,Line.padswitch(r:p1udt16223-p1udt840)p1u_260304,p1udt16223.1.2.3,p1udt16223-p1udt840x.1.2.3,
1.0107395507012908,Line.l(r:p1udt16223-p1udt840),p1udt16223-p1udt840x.1.2.3,p1udt16223-p1udt840xx.1.2.3,
1.0107617888356468,Line.padswitch(r:p1udt16223-p1udt840)p1u_260305,p1udt16223-p1udt840xx.1.2.3,p1udt840.1.2.3,
1.010761791154695,Line.padswitch(r:p1udt13907-p1udt840)p1u_260302,p1udt840.1.2.3,p1udt13907-p1udt840xx.1.2.3,
1.010761793477047,Line.l(r:p1udt13907-p1udt840),p1udt13907-p1udt840xx.1.2.3,p1udt13907-p1udt840x.1.2.3,
1.0107937318798994,Line.padswitch(r:p1udt13907-p1udt840)p1u_260303,p1udt13907-p1udt840x.1.2.3,p1udt13907.1.2.3,
1.0107937341927438,Line.padswitch(r:p1udt13907-p1udt6673)p1u_260300,p1udt13907.1.2.3,p1udt13907-p1udt6673x.1.2.3,
1.0107937365093767,Line.l(r:p1udt13907-p1udt6673),p1udt13907-p1udt6673x.1.2.3,p1udt13907-p1udt6673xx.1.2.3,
1.0108142428862013,Line.padswitch(r:p1udt13907-p1udt6673)p1u_260301,p1udt13907-p1udt6673xx.1.2.3,p1udt6673.1.2.3,
1.010814245196085,Line.padswitch(r:p1udt24154-p1udt6673)p1u_260298,p1udt6673.1.2.3,p1udt24154-p1udt6673xx.1.2.3,
1.0108142475046902,Line.l(r:p1udt24154-p1udt6673),p1udt24154-p1udt6673xx.1.2.3,p1udt24154-p1udt6673x.1.2.3,
