OpenDSS Value (p.u.),Bus,
0.0,p5udt10017-p5udt26367x,
0.0,p5udt10017-p5udt26367xx,
0.0,p5udt19359-p5udt31836x,
0.0,p5udt19359-p5udt31836xx,
0.0,p5udt10535-p5udt19108xx,
0.0,p5udt13944-p5udt27632xx,
0.0,p5udt13944-p5udt27632x,
0.0,p5udt26021-p5udt31597xx,
0.0,p5udt26021-p5udt31597x,
0.0,p5udt19323-p5udt22888x,
0.0,p5udt19323-p5udt22888xx,
0.0,p5udt25510-p5udt32197x,
0.0,p5udt25510-p5udt32197xx,
0.0,p5udt11340-p5udt18048x,
0.0,p5udt11340-p5udt18048xx,
0.0,p5udt17032-p5udt27057x,
0.0,p5udt17032-p5udt27057xx,
0.0,p5udt18010-p5udt22854x,
0.0,p5udt18010-p5udt22854xx,
0.0,p5udt10535-p5udt19108x,
0.0,p5udt18658-p5udt29802xx,
0.0,p5udt18559-p5udt27951x,
0.0,p5udt18559-p5udt27951xx,
0.0,p5udt15508-p5udt16619xx,
0.0,p5udt15508-p5udt16619x,
0.0,p5udt12118-p5udt32809x,
0.0,p5udt12118-p5udt32809xx,
0.0,p5udt10644-p5udt16240x,
0.0,p5udt10644-p5udt16240xx,
0.0,p5udt16901-p5udt28633xx,
0.0,p5udt16901-p5udt28633x,
0.0,p5udt18658-p5udt29802x,
0.0,p5udt25942-p5udt9392x,
0.0,p5udt10928-p5udt32231x,
0.0,p5udt27271-p5udt33384x,
0.0,p5udt10928-p5udt32231xx,
0.0,p5udt3176-p5udt795x,
0.0,p5udt44-p5udt8215x,
0.0,p5udt44-p5udt8215xx,
0.0,p5udt1510-p5udt1945x,
0.0,p5udt1510-p5udt1945xx,
0.0,p5udt4189-p5udt7540xx,
0.0,p5udt4189-p5udt7540x,
0.0,p5udt3553-p5udt3850xx,
0.0,p5udt258-p5udt6995xx,
0.0,p5udt3553-p5udt3850x,
0.0,p5udt1942-p5udt6496xx,
0.0,p5udt1638-p5udt2690x,
0.0,p5udt1638-p5udt2690xx,
0.0,p5udt4046-p5udt6362xx,
0.0,p5udt4046-p5udt6362x,
0.0,p5udt392-p5udt7259xx,
0.0,p5udt392-p5udt7259x,
0.0,p5udt5080-p5udt7551x,
0.0,p5udt5080-p5udt7551xx,
0.0,p5udt1942-p5udt6496x,
