OpenDSS Value (p.u.),Bus,
0.0,p3udt30629-p3udt31729x,
0.0,p3udt29560-p3udt31313xx,
0.0,p3udt1507-p3udt21139xx,
0.0,p3udt1507-p3udt21139x,
0.0,p3udt11361-p3udt30485xx,
0.0,p3udt11361-p3udt30485x,
0.0,p3udt16541-p3udt26348xx,
0.0,p3udt16541-p3udt26348x,
0.0,p3udt13283-p3udt27641x,
0.0,p3udt13283-p3udt27641xx,
0.0,p3udt18717-p3udt32035xx,
0.0,p3udt18717-p3udt32035x,
0.0,p3udt19358-p3udt26335x,
0.0,p3udt23452-p3udt27805x,
0.0,p3udt19358-p3udt26335xx,
0.0,p3udt25122-p3udt26335x,
0.0,p3udt29560-p3udt31313x,
0.0,p3udt30629-p3udt31729xx,
0.0,p3udt13028-p3udt22001x,
0.0,p3udt28940-p3udt6299x,
0.0,p3udt28940-p3udt6299xx,
0.0,p3udt5707-p3udt9285xx,
0.0,p3udt5707-p3udt9285x,
0.0,p4udt5546-p4udt8037xx,
0.0,p4udt10990-p4udt11244x,
0.0,p4udt10990-p4udt11244xx,
0.0,p4udt7554-p4udt7858x,
0.0,p4udt7554-p4udt7858xx,
0.0,p4udt5170-p4udt5827x,
0.0,p4udt5170-p4udt5827xx,
0.0,p4udt14683-p4udt18289xx,
0.0,p4udt14683-p4udt18289x,
0.0,p4udt6026-p4udt7878x,
0.0,p4udt6026-p4udt7878xx,
0.0,p4udt6026-p4udt7878xxx,
0.0,p4udt5546-p4udt8037x,
0.0,p4udt5101-p4udt5759x,
0.0,p4udt17656-p4udt7046xx,
0.0,p4udt17656-p4udt7046x,
0.0,p4udt5101-p4udt5759xx,
0.0,p4udt15003-p4udt4795x,
0.0,p4udt19393-p4udt22403x,
0.0,p4udt11810-p4udt7669x,
0.0,p4udt11810-p4udt7669x_b1_1,
0.0,p4udt11810-p4udt7669x_b2_1,
0.0,p4udt15003-p4udt4795xx,
0.0,p4udt11810-p4udt7669xx,
0.0,p4udt12106-p4udt8877x,
0.0,p4udt12106-p4udt8877xx,
0.0,p4udt19393-p4udt22403xx,
0.0,p5udt25942-p5udt9392xx,
0.0,p5udt14179-p5udt27160x,
0.0,p5udt14179-p5udt27160xx,
0.0,p5udt18858-p5udt29597x,
0.0,p5udt18858-p5udt29597xx,
0.0,p5udt11085-p5udt12500xx,
0.0,p5udt11085-p5udt12500x,
0.0,p5udt29094-p5udt8607xx,
0.0,p5udt29094-p5udt8607x,
0.0,p5udt13367-p5udt23450x,
0.0,p5udt13367-p5udt23450xx,
0.0,p5udt14547-p5udt30878xx,
0.0,p5udt14547-p5udt30878x,
0.0,p5udt28081-p5udt29560x,
0.0,p5udt28081-p5udt29560xx,
0.0,p5udt14522-p5udt27705x,
0.0,p5udt14522-p5udt27705xx,
